video_id,polarity,title,channel_title,category_id,tags
XJK8GXVvKkA,0.26,How To Be Honest | Awkward Puppets,Awkward Puppets,23,how to be honest|awkward|puppets|how|to|be|honest|best floyd mayweather interview|the keys of christmas|i am diego new album coming soon official trailer|Best Floyd Mayweather Interview | Awkward Puppets|lelepons|hannahstocking|rudymancuso|inanna|anwar|inannasarkis|shots|shotsstudios|marshmello|marshemllo|alesso|| Awkward Puppets
7KHvKzpsQrA,0.4,Graham Norton Compares His Show With Stephen's,The Late Show with Stephen Colbert,24,The Late Show|Stephen Colbert|Colbert|Late Show|celebrities|late night|talk show|skits|bit|monologue|The Late Late Show|Late Late Show|letterman|david letterman|comedian|impressions|CBS|joke|jokes|funny|funny video|funny videos|humor|celebrity|celeb|hollywood|famous|James Corden|Corden|Comedy
_9gaF8to7Fg,0.2727272727272727,Triple Chocolate Caramel Banana Dessert  | How To Cook That,How To Cook That,26,howtocookthat|how to cook that|ann reardon|chocolate|dessert|HOW TO COOK THAT ANN REARDON|How To Cook That Ann Reardon 🍰🍫🍨🍭|how to make|triple chocolate dessert recipe|baked chocolate ganache recipe|banana caramel recipe|coffee cremeux recipe|dessert recipe|banana dessert|coffee dessert|caramel dessert|rich dessert|chocolate chip|youtube|youtuber|pastry chef|sugar|glucose syrup|coffee|banana|5 mind-bending chocolate decorations|cremeux
lvZCzP-7JV8,0.14583333333333334,Lil Durk - Goofy ft. Future & Jeezy (Official Music Video),Lil Durk,10,lil durk|lil durk 2017|lil durk music|lil durk music video|otf|only the family|chicago|drill|drill music|lil durk 2x|lildurk2x|LSFTS|Future|Jeezy|Young Jeezy|Official|Music Video|New|2017|EMPIRE|Rap|Hip-Hop|goofy|goofy lil durk|lil durk goofy|future goofy|goofy future|jeezy goofy|goofy jeezy|goofy official music video|goofy music video|goofy official|goofy 2017|future music|jeezy music|lil durk official|future official
MPH0kUixvyo,0.3838383838383838,MENDY LOVES HOME DEBUT | POST MATCH INTERVIEW | CITY 5-0 LIVERPOOL,Man City,17,man city|manchester city|mcfc|premier league|soccer|EPL|BPL|city liverpool|man city 5-0 liverpool|mendy|benjamin mendy|mendy man city|mendy interview|man city v liverpool goals
HjMTqZA6un8,0.25,It - Movie Review,Chris Stuckmann,24,It|Movie Review|2017|1990|Tim Curry|Clown|Pennywise|Stephen King|Chris Stuckmann|Reviews|Film|Scene|Clip|Ending|Jaeden Lieberher|Wyatt Oleff|Jeremy Ray Taylor|Sophia Lillis|Finn Wolfhard|Jack Dylan Grazer|Chosen Jacobs|Nicholas Hamilton|Bill Skarsgård|Andrés Muschietti|Monster|Creature|Blood|Sink
IyDwZVvdN9M,0.2755102040816326,My FIANCÉ Buys My Outfits! OMG! Shopping Challenge 2017! Natalies Outlet,Natalies Outlet,24,Fiance|Fiance buys my outfits|Fiance buys my clothes|Boyfriend|Boyfriend buys my outfits|Boyfriend buys my clothes|Natalies Outlet|Natalies Outlet Fiance|Dennis Outlet|Shopping|Shopping Challenge|Clothing|Haul|Forever 21 Haul|Challenge|Cheap vs. Expensive|Cheap|Affordable|Shopping Spree|Clothes|Forever 21|Buys|My|Outfits|couple|cute|marriage
n2Um-NOD6uw,0.30612244897959184,Hoffenheim vs. Bayern München - The Fastest Goal and Late Lewandowski Strike,Bundesliga,17,football|soccer|Bundesliga|goals|fútbol|bundesliga|season 2015/16|german|germany|german football league|goal|FCB|Munich|skill|comeback|red card|sending-off|last minute|fast|fastest|byern munich|bayern münchen|Hoffenheim|TSG|TSG Hoffenheim|fastets goal|Lewandowski|Robert Lewandowski|NTBM|TW|HistoryPL|SEP17
OI4W8SJOVt8,0.15306122448979592,Let's Play South Park The Fractured But Whole Part 1: CHARACTER CREATION AND DIFFICULTY SLIDER,Eurogamer,20,south park the fractured but whole|south park the fractured but whole character creator|south park the fractured but whole difficulty|south park the fractured but whole difficulty setting|south park the fractured but whole intro|south park the fractured but whole gameplay|south park the fractured but whole reaction|south park the fractured but whole lets play|south park the fractured but whole ep 1|south park the fractured but whole review|aoife wilson|chris bratt
GA-Ct46xL7k,0.11578947368421053,Massive Hurricane Irma threatens Florida and beyond,USA TODAY,25,5568088156001|tegna|hurricane irma|Tampa|wtsp|weather|usatyoutube|vpc|South Florida|evacuation
StU-61439s0,0.32653061224489793,"Frank Lampard Back At Cobham, The Best El Rondo Ever And This Week At Training | Chelsea Unseen",Chelsea Football Club,17,Chelsea F.C. (Football Team)|Chelsea TV (TV Network)|Football (Interest)|Sports (TV Genre) blues stamford bridge|luiz|courtois|cahill|fabregas|hazard|willian|costa|conte|batshuayi|Premier League|soccer|London|football fan|skills|fifa|freekick|goal|soccerlife|chelsea fc 2017|training|rumour|transfer|chelsea football club news|chelsea highlights|chelsea football club song|chelsea football club formation|chelsea football club chants|chelsea football club manager
mG6_nlJPNcM,0.1717171717171717,iPhone X: How The Newest iPhone Came To Be | WIRED,WIRED,28,10 years|apple|apple event|iphone|new phone|steve jobs|iphone 7|iphone 8|iphone history|history of iphone|history of the iphone|iphone 8 announcement|new iphone|steve jobs iphone|ios|apple conference|apple press conference|apple keynote|keynote address|iphone x|iphone 10|wired|wired.com|tech|technology
YAD1gCeYzoQ,0.5757575757575758,Real talk with Afrojack about pre-recorded sets,Laidback Luke,10,DJ laidback Luke|Laidback Luke|afrojack|pre-recorded|Tomorrowland|ultra|dj tutorial|DJ podcast|DJ tips|Afrojack Laidback Luke|LBL|LBL Vlog|dj vlog|laidback luke vlog
4S_9IWKVuVU,0.5050505050505051,Welcome Back Bam!,Element,17,skateboarding|bam margera|jackass|viva la bam|skateboard|element skateboards|element skateboarding|CKY
T6lon9-8Fck,0.29,Magic: The Gathering Arena World Premiere Stream,Magic: The Gathering,20,twitch|games|Magic: The Gathering|MTG|Magic|CCG|Collectible Card Game|TCG|Trading Card Game|Video Game|MTG Arena|Magic: The Gathering Arena
DmM6G4BvotE,0.7628865979381443,Pregnant Day Out! #Ad,SprinkleofChatter,22,Louise Pentland|Sprinkle of Chatter|Pregnant day out|London Midland|Train Ticket Discounts
Vjbqe7agCz0,0.2,This tiny modular home adapts to your moods,The Verge,28,Kasita|Kasita tiny home|modular homes|tiny house|small house|tiny house on wheels|modern tiny house|minimalist|Home of the Future|the verge|verge
wvjBdW6CyAM,0.28,Cookie Dough Sandwich Cookies! | Cupcake Jemma,CupcakeJemma,26,cookies|cookie dough|sandwich cookies|baking|cupcake|cupcakes|cupcake jemma|jemma wilson|crumbs and doilies|bakery|chocolate chips|chocolate|cream cheese|cream cheese frosting|icing|philadelphia|buttercream|filled cookies|chewy|crisp|log|treat|ideas|home baking
Fp77pujdLMM,0.25510204081632654,Kevin Gates - Had To [Official Audio],kevingatesTV,10,Kevin gates|Kevin|Gates|Hip Hop|Rap|Had To|Kevin Gates Had To|New Kevin Gates|Kevin Gates By Any Means|By Any Means 2|Kevin Gates By Any Means 2|New Kevin Gates Mixtape|Kevin Gates Mixtape By Any Means|By Any Means 2 Kevin Gates
UX7bxe2whlw,0.21875,Gary Clark Jr. & Junkie XL - Come Together (Justice League OST),Matches Malone,10,Gary Clark Jr.|Junkie XL|Justice League|Soundtrack|OST|Beatles|Cover|Batman|Superman|Wonder Woman|The Flash|Aquaman|Cyborg|JL|DC|DC comics|DC Films|DCEU|Zack Snyder|Beatles cover|Trailer music|Trailer song|Justice League song|Justice League theme
Q0RVBTb6wTQ,0.16,Game Theory: How Zelda Breath of the Wild SOLVES The Zelda Timeline!,The Game Theorists,20,zelda|breath of the wild|zelda breath of the wild|legend of zelda breath of the wild|the legend of zelda|zelda timeline|the legend of zelda: breath of the wild|breath of the wild gameplay|link|matpat|zelda timeline game theory|zelda switch|nintendo switch|nintendo|switch|zelda theory|botw|game theory|game theory matpat|matpat breath of the wild|breath of the wild matpat|game theorists|zelda game theory|nintendo open world
WNZTec6BbOU,0.5959595959595959,Out Loud (Lyric Video),The Gabbie Show,26,gabbie|hanna|sing|singing|real voice|out loud|lyric|lyrics|lyric video|song|single
lo8QsWGWnEg,0.47058823529411764,Don Williams 1978,CMA Country Music Association,10,CMA|Country Music Association|CMA Awards 2016|Country Music|CMA Festival|Free Music|Live Music|Music Festival|Nashville|Tennessee|nissan stadium|hayley orrantia|Dan + Shay|Thomas Rhett|Brett Eldredge
NPovS8i2WDo,0.47959183673469385,SINGING YOUR QUESTIONS 7,SarahClose1,10,sarah close|sarahclose1|singing your questions|question and answer|q and a|questions|ask me questions|singing your answers|number 7
KlnLDOUVbtA,0.19,Film Theory: How Wonder Woman FAILED Us!,The Film Theorists,1,wonder woman|wonder woman theme song|wonder woman full movie|wonder woman theme|wonder woman soundtrack|wonder woman movie|wonder woman review|wonder woman dc|dc|zack snyder|dc universe|film theory|matpat|wonder woman film theory|film theorists|wonder woman matpat|matpat film theory|superhero|female superhero
nYwhZwA9JZo,0.6161616161616161,5 Easy & Creative Avocado Recipes | CHEAP CLEAN EATS,blogilates,26,avocado|avocado recipes|avo|avo recipes|cheap clean eats|healthy fat|vegan|vegan recipe|avocado vegan recipe|recipe|healthy|how to|avo hummus|avo toast|avocado toast|avocado hummus|vegan sandwich|how to make a vegan sandwich|how to make a sandwich|avocado fries|avocado fries recipe|healthy fries recipe|avo tacos|avocado tacos|avocado taco recipe|vegan recipes|healthy recipes|vegan food|avocado benefits|how to use avocado|ways to eat avocado
1cnBJYystA0,0.63,SHOPPING IN STOCKHOLM WITH ANNA | Lily Pebbles,Lily Pebbles,26,lily|lilypebbles|pebbles|style|beauty|makeup|skincare|tutorial|haul|shopping|london|food|vlog|vlogging
tI311Dz5_As,0.5050505050505051,Bojack Horseman: Unlucky in Love,ScreenPrism,1,bojack horseman|bojack horseman season 4|bojack horseman will arnett|aaron paul|bojack horseman meaning|bojack horseman review|bojack horseman explained|bojack horseman personality|princess carolyn bojack horseman|diane bojack horseman
JQzMUNt7AfQ,0.4387755102040816,The xx cover My Love by Justin Timberlake in the Live Lounge,BBC Radio 1,10,The xx|My Love|Justin Timberlake|BBC|Radio 1|Live Lounge
WrsFXgQk5UI,-0.0625,Lil Uzi Vert - XO Tour Llif3 (Official Music Video),LIL UZI VERT,22,Lil|Uzi|Vert|XO Tour Llif3|XO|Tour Life|Xo Tour Life|XO TOUR LIFE VIDEO|All my friends are dead|push me to the edge|Lil Uzi|Uzi Vert|Lil Uzi Vert|LUV|LUV is Rage 2|LUV is rage|lir2|Rage 2|LUV is Rage 2 XO tour life|Lil Uzi Vert Video|New Music Video|Official Music Video|Lil Uzi Vert XO Tour Llif3|XO Tour Llif3 Official Music Video|the Weeknd|NAV|Off White|Virgil Abloh
dLJFGq7uwb8,0.7676767676767676,Trying New Makeup Products,Tina Yong,26,myer|myer online|tina tries it|tina yong|new makeup|get ready with me|makeup tutorial|petite cosmetics|saturday skin|comodynes|tonymoly|YSL all hours|shiseido inkstroke|benefit foolproof|revlon ultra|revlon contour|mac rockin|mac studio|GRWM|hourglass ambient
zKDPrpJEGBY,0.15151515151515152,The Square - Official Trailer,Magnolia Pictures & Magnet Releasing,1,the square|ruben ostlund|magnolia pictures|force majeure|elisabeth moss|claes bang|dominic west|contemporary art|museum|satire|existential|art film|foreign language|entry|academy award|palme d'or|cannes|film festival|winner
G8jxAKmojxY,0.35714285714285715,St. Vincent - Los Ageless (official audio),St. Vincent,10,[none]
Tj08Ni3tklw,0.2828282828282828,Beck - Up All Night,BeckVEVO,10,Beck|up all night|music video|official|colors|new album
BFlk1LehjwA,0.29,How Fast Do Tails’ Tails Gotta Go To Fly? (Because Science w/ Kyle Hill),Nerdist,24,Nerdist|Fvid|Because Science|Kyle Hill|sonic the hedgehog|tails|video games|flight|helicopter|lift|sega genesis|robotnik
Wgs2ahWHjHQ,0.6477272727272727,James Blunt - California [Official Lyric Video],James Blunt,10,James Blunt|California|The Afterlove|Love Me Better|Time Of Our Lives|Bartender|Make Me Better|Don't Give Me Those Eyes|You're Beautiful|Lose My Number|Goodbye My Lover|Same Mistake|Bonfire Heart|Moon Landing
QuEuV9F22N0,0.25,For Honor: Season 3 - Tribute Mode Reveal | Trailer | Ubisoft [US],Ubisoft US,20,capture the flag|tribute mode|for honor|for honor trailer|for honor single player|for honor campaign|for honor story|trailer|single player|campaign|factions|ps4|xbox one|pc|ubisoft|Japanese Katana|European Longsword|Samurai sword|Knight Broadsword|faction war|grudge and glory|highlander|gladiator|ranked|for honor ranked|for honor season 3|for honor ranked tournament|for honor new heroes|tribute|for honor tribute mode|the warrior's den
hXGTJgXPhm0,0.25,Xenoblade Chronicles 2 - Nintendo Switch - Nintendo Direct 9.13.2017,Nintendo,20,nintendo|play|play nintendo|game|gameplay|fun|video game|kids|action|adventure|rpg|nintendo switch|pro controller|joy con|xenoblade chronicles|xenoblade chronicles 2|alrest|titans|blades|drivers|nintendo direct|xenoblade chronicels 2 special edition|abilities|skills|elysium|dragon|boss fight|fight|airship|combat|sword fight|worlds|explore|healer type|attacker type|defender type|rex|pyra|the world of titans|azurda
eYAmnGSmKtw,-0.05,SM64 Online Tutorial,Kaze Emanuar,20,mario 64|online|multiplayer|mario multiplayer|mario 64 online|kaze emanuar|sm64 online|sm64 mmo|jump and run online|nintendo|nintendo 64|odyssey
QG9U_41ZXCU,0.48484848484848486,U2: Bullet the Blue Sky,The Tonight Show Starring Jimmy Fallon,23,The Tonight Show|Jimmy Fallon|U2|Bullet the Blue Sky|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|music|musical performance|the roots|rock|alternative rock|songs of experience
jNb0vRORLAw,0.0,Most honest answer by a sportsperson you'll ever see,The Poke,24,tennis|sloane stephens|us open|prize money|honest|funny video|sport|television|the poke
xXnfQ4SC6oQ,0.2604166666666667,"President Trump's Remarks at Camp David Cabinet Meeting - Sept. 9, 2017",The White House,25,[none]
QeaumjX9DNY,0.0,Yandel - Como Antes (Official Video) ft. Wisin,YandelVEVO,10,Wisinyyandel|wisin&yandel|yandelywisin|yandel&wisin|yandel|wisin|elmatatan|elcapitan|loslideres|losvaqueros|losextraterrestres|elsobreviviente|laleyenda|lagerencia|elduodelahistoria|comoantes|throwback|reggaeton|perreo|Yandel ft. Wisin|Yandel ft. Wisin Music|Yandel ft. Wisin Official Video|Yandel ft. Wisin Video|Yandel ft. Wisin Video Oficial|Yandel ft. Wisin Nuevo Video|Yandel ft. Wisin New Video|Como|Antes|Video
Z4WNpw_3T6Q,0.21649484536082475,REACTING TO MALFIE COMPILATIONS (POINTLESS BLOG),MoreMarcus,22,Marcus Butler|More Marcus|comedy|funny|reacting|challenge|Malfie|Pointless Blog|Alfie Deyes
b88Z3Xa9v4s,0.03225806451612903,BETTER WATCH OUT (2017) Official Red Band Trailer,BD Horror Trailers and Clips,24,horror|movies|movie|genre|bloody disgusting|horror movies|clip|trailer|trailers|Levi Miller|Ed Oxenbould|Olivia DeJonge|Dacre Montgomery|Virginia Madsen|Patrick Warburton|Chris Peckover|BETTER WATCH OUT
KBk0-QDjWfA,0.5157894736842106,BOBBY - ‘사랑해(I LOVE YOU)’ M/V,iKON,10,BOBBY|SONG|JUNE|DK|CHAN|BI|iKON|바비|김바비|김밥|RUNAWAY
LHVLRxtJiyY,0.030612244897959183,Tallest high top fade - Guinness World Records,Guinness World Records,24,guinness world records|guinnes|guiness|book|world record|breakers|setters|amazing|fastest|officially|best|record|new|incredible|ギネス世界記録|ギネス|ギネスブック|benny harlem|high top fade|hair|tall hair|hairstyle|hi-top fade|fashion|model
g7nvSevPSfo,0.43010752688172044,Avicii - Without You (The Making Of) ft. Sandro Cavazza,AviciiOfficialVEVO,10,Avicii|Without|You|Universal|Music|Dance
taKGnsqeCPs,0.43333333333333335,Nick Jonas - Find You,NickJonasVEVO,10,Nick|Jonas|Find|You|Safehouse|Records|Island|Pop
30QPEkhcYeQ,0.04,Yo Gotti ft. Nicki Minaj: Rake It Up,The Tonight Show Starring Jimmy Fallon,23,The Tonight Show|Jimmy Fallon|Yo Gotti|Nicki Minaj|Rake It Up|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|Mario Mims|Lil Yo|hip hop|rap|The Art of Hustle|Pinkprint|Anaconda|Super Bass|Starships|Bang Bang|music|musical performance|the roots
klSWPvDCYoI,0.3368421052631579,Best Friends Challenge with Demi Lovato,The Tonight Show Starring Jimmy Fallon,23,The Tonight Show|Jimmy Fallon|Best Friends Challenge|Demi Lovato|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|games|games with guests|Tell Me You Love Me|Sorry Not Sorry|Confident|Heart Attack|pop rock|pop
nCav3ZDm2wk,0.26,Kyrie Irving didn't tell LeBron James he was leaving Cavaliers | First Take | ESPN,ESPN,17,ESPN|kyrie irving trade request|kyrie irving trade|kyrie irving lebron james trade|kyrie irving|kyrie|irving|lebron james|lebron|james|kyrie irving didn't tell lebron james|kyrie irving celtics|kyrie irving cavaliers|kyrie irving boston celtics|kyrie irving cleveland cavaliers|lebron james cavaliers|lebron james cleveland|lebron james cleveland cavaliers|nba|basketball|first take|first take nba|first take live|first take daily|first take now|first take today
6DjO94xv-ak,0.4090909090909091,Lecrae - Broke (Audio),LecraeVEVO,10,Broke|Lecrae|Rap|Reach Records/Columbia
_yZqPN57W3o,0.17391304347826086,The hilarious new Romelu Lukaku song heard at Old Trafford,You Will Like It,22,The hilarious new Romelu Lukaku song heard at Old Trafford|The hilarious|new|Romelu|Lukaku|song|heard|at|Old|Trafford|The hilarious new|Romelu Lukaku|song heard|Old Trafford|2017|LUKAKU'S OUTRAGEOUS NEW CHANT FILMED AT OLD TRAFFORD|Romelu Lukaku Chant | Old Trafford|Manchester United|romelu lukaku|man utd|romelu lukaku to united|lukaku to man united|man utd chants|manchester united songs|football chants|mufc
obq5OiTOKpI,0.4479166666666667,Angelica Hale: 10-Year-Old Vocalist Stuns With Symphony - America's Got Talent 2017,America's Got Talent,24,America's Got Talent 2017|america's got talent|america's got talent fails|america's got talent best|america's got talent auditions|AGT|AGT 2017 auditions|AGT best auditions|NBC|TV|TV Shows|Highlights|Previews|Simon Cowell|Howie Mandel|Tyra Banks|Heidi Klum|Mel B|season 12|America's|Got|Talent|funny|judge|vote|clips|talent|entertainment|competition|biggest talent show|talent show
40M4DF8aIYs,0.6122448979591837,Too Faced Peaches and Cream GRWM | First Impressions | soothingsista,SoothingSista,26,soothingsista|Stephanie Villa|Too Faced|Sweet Peaches and Cream|Collection|GRWM|First Impressions|Full Face|Primed & Peachy Cooling Matte Perfecting Primer|each Perfect Comfort Matte Foundation|Peach Perfect Mattifying Setting Powder|Peach Blur Translucent Smoothing Finishing Powder|Just Peachy Velvet Matte Eye Shadow Palette|Peach Kiss Moisture Matte Long Wear Lipstick|Peach Mist Mattifying Setting Spray|Sweetie Pie Radiant Matte Bronzer|I want Kandee
azAziWHV1_U,0.375,Savage: De Bruyne best player in Premier League,BT Sport,17,bt sport|football|soccer|premier league|manchester city|kevin de bruyne
o7eLKttSYMA,0.7604166666666666,Grace VanderWaal - So Much More Than This (Audio),GraceVanderWaalVEVO,10,Grace VanderWaal|Pop|So Much More Than This|Syco Music/Columbia Records
Wv3RpLvPasE,0.3409090909090909,MACKLEMORE FEAT OTIENO TERRY - LEVITATE,Macklemore LLC,10,macklemore|music|seattle|macklemore & ryan lewis|mackelmore|hip hop|downtown|thrift shop|can’t hold us|cant hold us|white walls|same love|washington|seahawks|gemini|levitate|otieno terry
0Rb2rr1vWpI,0.22916666666666666,Lecrae - Whatchu Mean (Audio) ft. Aha Gazelle,LecraeVEVO,10,Lecrae feat. Aha Gazelle|Rap|Reach Records/Columbia|Whatchu Mean
ySSdeYpoWBU,-0.21,crazy lady argues with people about PTSD dog,RJ Wiso,27,argumnet|ptsd dog|crazy women
jjdKuw2MJww,0.44680851063829785,Emeli Sandé - Starlight (Lyric Video),EmeliSandeVEVO,10,Naughty Boy|Adele|Olympics
07VBLa4RMKs,0.09183673469387756,Woman who appears to be BA stewardess posts offensive video,Piece of News,25,british airways|ba|ba stewardess|stewardess|nigerians|British Airways launches investigation|racist|racism|ba stewardess racism|ba stewardess racist|racist comments|racist comments about passengers|stewardess racist comments|flying to Abuja|Nigeria|woman made racist comments|female ba unfirom racist comments|british airways stewardess racist coments|british airways stewardess racism|racist rant|british airways stewardess launch racist rant
vkrvJnHkxg4,0.3,Louis Theroux: Dark States - Trailer | BBC Two,BBC,24,BBC|iPlayer|bbc two|bbc 2|bbc2|trailer|Louis Theroux|dark states|diverse|american cities|challenges|murder|sex trafficking|opiate dependency|drugs|addiction|health|bad habits|society|america|usa|the dark side of america|revealed|life
9JhNLoR1zZ8,0.6666666666666666,My PREGNANCY Routine! | Fleur De Force,Fleur DeForce,26,fleurdeforce|fleur de force|pregnancy routine|pregnant|mum to be|daily routine|grwm|preganant essentials|top products|faves|baby mum blogger|baby routine|pregnancy diary|de force|baby de force|fleur
NxHVjqMGKrI,0.62,THE BLOGGER PHOTOSHOOT | Lily Pebbles,Lily Pebbles,26,lily|lilypebbles|pebbles|style|vlog|vlogging|london|girl stole london|girl vs cancer|breast cancer|fundraising|tit tees|the anna edit|hello october|emma gannon|liv purvis|erica davies|love cloth blog|husband|bolognaise|recipe|pasta|house design
YmnxIsRn5nw,0.47,Urban Decay Velvetizer-The HELL Is In This Stuff?!!? | Jackie Aina,Jackie Aina,26,urban decay velvitzer|velvetizer reviews|urban decay velvetizer review|velvetizer first impressions|velvetizer|product reviews
7QGTDFtD1p8,0.25510204081632654,What Sean Spicer's Emmys Appearance Says About How We Consume The News - Some News,Cracked,23,News spoof|news satire|news parody|trump|News|Some News|Cracked news|President Trump|President Donald Trump|Donald Trump|President|Cody Johnston|cody cracked|Cody|Johnston|news today|latest news|headlines|just in|trump news|Stephen Colbert|Jimmy Kimmel|Emmys|St Louis|sean spicer emmys|emmy|fake news|political theater|John McCain|Graham Cassidy|Lamar Smith
J701ucIsrrk,0.34375,Hardwell & KSHMR - Power (Official Lyric Video),Spinnin' Records,24,Spinnin'|Records|Spinnin' Records|Hardwell|KSHMR|Power
J4Td-_OQ0jo,0.2087912087912088,Yung Lean - 'Hunting My Own Skin' (Official Audio),Yung Lean,10,yung lean|kyoto|ginseng strip|hurt|yoshi city|oreomilkshake|hunting my own skin|stranger|sad boys|cloud rap|sad rap|young lean
qCFT66OOgeE,-0.2,The Simpsons: Itchy & Scratchy Land part 1,Homer Thompson,22,The Simpsons|the simpsons|homer|bart|lisa|marge|ned flanders|maggie|akira|Homer Simpson|Marge Simpson|Bart Simpson|Lisa Simpson|Maggie Simpson|homer thompson
1kTff70rjig,0.5104166666666666,A Very Exciting Day & Sleepover At Zoe's | Tanya Burr,Tanya Burr,26,tanya burr|zoella|pointlessblog|joe|sugg|jim chapman|tanya burr cosmetics|lucy williams|brunch|london|breakfast|review|tutorial|drugstore|easy|quick|reveal|surprise|fun|funny|game|games|sleepover|brighton
MtOiRhapfFE,0.25510204081632654,i have a problem,CaseyNeistat,22,[none]
D8cf_QBghng,0.09,Entrevista en EXCLUSIVA con Cristiano Ronaldo en 'El Chiringuito' tras la VICTORIA en Dortmund,El Chiringuito de Jugones,17,Deportes|ATRESMEDIA|Crisitano Ronaldo|Cristiano Exclusiva|Ronaldo exclusiva|Cristiano Ronaldo exclusiva|El Chiringuito|El Chiringuito De Mega|Champions League|Real Madrid
9lx41ak9GWk,0.25,PHOGS! EGX Demo Trailer,Bit Loom,20,phogs|double-ended dogs|double ended dogs|phogs!|cooperative|game|coop game|coop|dogs|dog game|local multiplayer|local coop|cartoon|physics dogs|physics game
